bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
55,2,ema,14,2,5364,62.86353467561522,0.33718921606346275,1808.6829549644142
55,2,ema,14,3,2358,63.782866836301956,0.44067242136332235,1039.105569574714
55,2,ema,14,4,1699,62.03649205414949,0.17331458370996505,294.46147772323064
55,2,ema,21,2,3450,63.91304347826087,0.38834478402837164,1339.7895048978821
55,2,ema,21,3,1410,64.8936170212766,0.4185387070891627,590.1395769957194
55,2,ema,21,4,3052,62.68020969855832,0.11043214723529234,337.0389133621122
55,2,ema,34,2,1635,64.70948012232415,0.5112023029677862,835.8157653523306
55,2,ema,34,3,3605,62.940360610263525,0.19031312851295815,686.0788282892141
55,2,ema,34,4,7413,63.73937677053825,0.06992654244187083,518.3654591215884
55,2,ema,55,2,9454,62.96805584937593,0.13836741896557922,1308.1255789005859
55,2,ema,55,3,7326,63.52716352716353,0.07831190392780717,573.7130081751153
55,2,ema,55,4,5958,63.72943940919772,0.08977992199343654,534.9087752368949
55,2,vidya,14,2,2158,60.51899907321594,0.13778296240745228,297.335632875282
55,2,vidya,14,3,5038,63.47757046447002,0.16581317861810516,835.3667938780138
55,2,vidya,14,4,5739,64.94162746123018,0.05777365174118769,331.56298734267614
55,2,vidya,21,2,5992,64.08544726301736,0.10266919472006321,615.1938147626188
55,2,vidya,21,3,5413,64.45593940513578,0.0375546209480547,203.2831631918201
55,2,vidya,21,4,4508,64.79591836734694,0.03821041974002574,172.25257218803603
55,2,vidya,34,2,4174,63.655965500718736,0.05929743984364065,247.50751390735607
55,2,vidya,34,3,3406,65.03229594832648,0.12821439425561085,436.6982268346106
55,2,vidya,34,4,2922,63.82614647501711,0.09760838656772856,285.2117055509029
55,2,vidya,55,2,2545,63.1434184675835,0.14730536389361493,374.89215110925
55,2,vidya,55,3,2128,63.25187969924813,0.2798368002192974,595.4927108666649
55,2,vidya,55,4,1829,61.67304537998907,0.15812688091524785,289.2140651939883
55,3,ema,14,2,6425,64.59143968871595,0.20158399495113088,1295.177167561016
55,3,ema,14,3,3389,65.53555621127177,0.3803251879940568,1288.9220621118584
55,3,ema,14,4,1779,67.95952782462057,0.5218786946885943,928.4221978510092
55,3,ema,21,2,4513,65.49966762685575,0.2906279836907526,1311.6040903963665
55,3,ema,21,3,2336,67.0804794520548,0.4224569485534401,986.8594318208361
55,3,ema,21,4,1071,66.1064425770308,0.34035287491779936,364.5179290369631
55,3,ema,34,2,2681,66.43043640432674,0.4241765320477511,1137.2172824200206
55,3,ema,34,3,1103,67.36174070716228,0.5156501042638857,568.7620650030659
55,3,ema,34,4,1542,65.36964980544747,0.23921420124509782,368.86829831994083
55,3,ema,55,2,1089,66.57483930211203,0.6885627472405802,749.8448317449918
