sym,cfg,n,win,pnl,total,pf,oos_win,oos_pnl
BTCUSDT,A: TP2% + SL8%,324,64.81481481481481,0.20503996917517225,66.43295001275581,1.1878934986027474,39.19753086419753,0.28130469725497825
BTCUSDT,B: TP2% + SL=bias,324,64.81481481481481,0.20995716910231205,68.0261227891491,1.1932703737226438,39.19753086419753,0.28130469725497825
BTCUSDT,C: TP1% + SL5%,324,79.01234567901234,0.13988208825210932,45.321796593683416,1.2151233296131503,39.19753086419753,0.09349790654918863
SOLUSDT,A: TP2% + SL8%,319,75.23510971786834,0.0022116162860276517,0.7055055952428209,1.0014719668251542,37.61755485893417,-0.1944945037057418
SOLUSDT,B: TP2% + SL=bias,319,76.48902821316614,0.02489108488851864,7.940256079437447,1.0165401414719566,37.61755485893417,-0.07549283462595612
SOLUSDT,C: TP1% + SL5%,319,83.38557993730407,0.055735536556138755,17.779636161408263,1.07162843485706,37.61755485893417,-0.10568781429023914
DOGEUSDT,A: TP2% + SL8%,356,74.15730337078652,-0.014345512620217831,-5.107002492797548,0.990420304987709,38.20224719101123,0.2565605283992576
DOGEUSDT,B: TP2% + SL=bias,356,75.28089887640449,0.08827940305176159,31.427467486427126,1.062285331565451,38.20224719101123,0.3512052393390078
DOGEUSDT,C: TP1% + SL5%,356,83.98876404494382,0.1347908283143633,47.98553487991333,1.191166412887627,38.20224719101123,0.2245235648768429
IMXUSDT,A: TP2% + SL8%,380,79.73684210526316,0.10006099218285346,38.023177029484316,1.066944944743737,41.05263157894737,-0.06572822398155627
IMXUSDT,B: TP2% + SL=bias,380,82.63157894736842,0.18358355583213326,69.76175121621064,1.1249677021741125,41.05263157894737,-0.07290000987128764
IMXUSDT,C: TP1% + SL5%,380,84.73684210526315,0.09032653670280541,34.32408394706606,1.1193151113169664,41.05263157894737,0.08288157771754368
LTCUSDT,A: TP2% + SL8%,348,69.54022988505747,-0.1927785724027543,-67.0869431961585,0.8782643210396675,38.50574712643678,-0.21035404755593415
LTCUSDT,B: TP2% + SL=bias,348,70.11494252873564,-0.23336692177901253,-81.21168877909636,0.8573260346194091,38.50574712643678,-0.2948148959027188
LTCUSDT,C: TP1% + SL5%,348,82.47126436781609,0.08123391545528548,28.269402578439347,1.1092619228655776,38.50574712643678,0.05569317396765062
1000SHIBUSDT,A: TP2% + SL8%,351,73.78917378917379,0.003597196162482516,1.2626158530313631,1.0024434381791745,36.182336182336186,0.35189001262398145
1000SHIBUSDT,B: TP2% + SL=bias,351,75.21367521367522,0.09949050498614297,34.92116725013618,1.0708226858074263,36.182336182336186,0.32581330570287637
1000SHIBUSDT,C: TP1% + SL5%,351,82.05128205128204,0.0007007329130785558,0.2459572524905731,1.0008547482083732,36.182336182336186,0.0773769400910518
ETCUSDT,A: TP2% + SL8%,340,75.58823529411765,0.1604078709111275,54.538676109783346,1.118701342798583,37.05882352941177,-0.14480905310367143
ETCUSDT,B: TP2% + SL=bias,340,76.76470588235294,0.22481074967054804,76.43565488798633,1.171547960976928,37.05882352941177,-0.08494937823446345
ETCUSDT,C: TP1% + SL5%,340,83.52941176470588,0.10379599197129948,35.290637270241824,1.141895089444573,37.05882352941177,0.008977861947187712
SUSHIUSDT,A: TP2% + SL8%,335,68.05970149253731,-0.8144185375863819,-272.83021009143795,0.6256601245203474,40.0,-0.9180310138338655
SUSHIUSDT,B: TP2% + SL=bias,335,70.1492537313433,-0.9383933719520662,-314.3617796039422,0.5992132868041111,40.0,-1.2942057729596053
SUSHIUSDT,C: TP1% + SL5%,335,82.98507462686567,0.008803343178504635,2.9491199647990527,1.0107220888165187,40.0,-0.05042608003333188
ARUSDT,A: TP2% + SL8%,362,73.48066298342542,-0.31391688891853303,-113.63791378850895,0.8239912629639448,36.46408839779006,-0.38421534284379627
ARUSDT,B: TP2% + SL=bias,362,76.51933701657458,-0.33422679993783594,-120.99010157749662,0.8207527765300042,36.46408839779006,-0.46156953087199437
ARUSDT,C: TP1% + SL5%,362,77.90055248618785,-0.2878544829853466,-104.20332284069548,0.7301853280954856,36.46408839779006,-0.38640820249299035
MAVUSDT,A: TP2% + SL8%,233,76.82403433476395,-0.1277346344989309,-29.762169838250905,0.9232463294429529,54.506437768240346,-0.4075761404586685
MAVUSDT,B: TP2% + SL=bias,233,80.68669527896995,0.05659171977138297,13.185870706732231,1.0363433219439864,54.506437768240346,-0.41028701063497974
MAVUSDT,C: TP1% + SL5%,233,82.83261802575107,-0.01640013496137973,-3.8212314460014767,0.9805852680733285,54.506437768240346,-0.25056087752757067
