entry,sym,n,hit,pnl_end,total_end,hold
ENTRY EMA (cũ),BTCUSDT,324,64.81481481481481,0.22222084858004326,71.99955493993401,533.8858024691358
ENTRY EMA (cũ),SOLUSDT,319,76.48902821316614,1.909430329684656,609.1082751694053,563.141065830721
ENTRY EMA (cũ),DOGEUSDT,356,75.28089887640449,0.22517976688788974,80.16399701208874,533.5393258426966
ENTRY EMA (cũ),IMXUSDT,380,82.63157894736842,2.139847358807245,813.1419963467531,624.9763157894737
ENTRY EMA (cũ),LTCUSDT,348,70.11494252873564,-1.692568572335122,-589.0138631726225,493.9971264367816
ENTRY EMA (cũ),1000SHIBUSDT,351,75.21367521367522,-0.2508532278028377,-88.04948295879603,613.079772079772
ENTRY EMA (cũ),ETCUSDT,340,76.76470588235294,0.6350794739557819,215.92702114496586,611.3176470588236
ENTRY EMA (cũ),SUSHIUSDT,335,70.1492537313433,-1.6817487899405736,-563.3858446300922,489.29253731343283
ENTRY EMA (cũ),ARUSDT,362,76.51933701657458,-1.1546044729836784,-417.96681922009157,523.121546961326
ENTRY EMA (cũ),MAVUSDT,233,80.68669527896995,-0.9326632297032678,-217.3105325208614,542.5665236051502
ENTRY VIDYA (mới),BTCUSDT,104,62.5,-0.09728507945761705,-10.117648263592173,546.4519230769231
ENTRY VIDYA (mới),SOLUSDT,93,84.94623655913979,0.8469679950505025,78.76802353969673,551.6129032258065
ENTRY VIDYA (mới),DOGEUSDT,106,74.52830188679245,-1.0100740805026729,-107.06785253328331,547.1037735849056
ENTRY VIDYA (mới),IMXUSDT,113,81.41592920353983,0.7440485095435113,84.07748157841678,568.212389380531
ENTRY VIDYA (mới),LTCUSDT,103,77.66990291262135,-1.167869959361202,-120.29060581420381,566.747572815534
ENTRY VIDYA (mới),1000SHIBUSDT,100,82.0,-0.48296491532738967,-48.29649153273897,634.88
ENTRY VIDYA (mới),ETCUSDT,109,78.89908256880734,0.9657338611586861,105.26499086629678,703.5779816513761
ENTRY VIDYA (mới),SUSHIUSDT,88,79.54545454545455,-0.9258899266312981,-81.47831354355424,595.3522727272727
ENTRY VIDYA (mới),ARUSDT,105,83.80952380952381,-1.7625393696627663,-185.06663381459046,539.8952380952381
ENTRY VIDYA (mới),MAVUSDT,77,81.81818181818183,-1.4827547255018902,-114.17211386364555,589.1818181818181
