combo,n,winrate,avg,total,hold
W24_emapull_V2,5497,40.48,1.03,5662.9,156
W12_emapull_V2,5239,40.35,1.045,5474.4,156.2
W8_emapull_V2,5138,40.25,1.049,5392,155.6
W4_emapull_V2,4995,40.16,1.055,5269.5,155.5
W12_emapull_V1,12085,40.05,0.977,11803.8,152.8
W24_emapull_V1.5,7974,40.04,0.957,7629.3,154.5
W24_emapull_V1,12521,40.03,0.951,11910.6,152.6
W4_emapull_V1,11583,40.02,0.98,11347.7,152.5
W8_emapull_V1,11892,40,0.978,11633,152.4
W12_emapull_V1.5,7638,39.95,0.973,7433.9,154.5
W8_emapull_V1.5,7503,39.86,0.975,7317.7,154.1
W4_emapull_V1.5,7283,39.82,0.962,7002.7,154.1
W12_emapull_Vx,20820,39.58,0.834,17354.1,151.1
W24_emapull_Vx,21371,39.58,0.818,17484.3,151
W8_emapull_Vx,20559,39.56,0.835,17175.3,150.9
W4_emapull_Vx,20111,39.53,0.83,16701,150.8
W24_flip_V2,5497,38.66,0.601,3306.1,162.9
W24_zonepull_V2,5497,38.11,0.692,3802.1,159
W24_flip_V1,12521,38.05,0.541,6775.3,159.2
W12_flip_V2,5239,38.04,0.55,2883.5,162.2
W24_flip_V1.5,7974,38.04,0.535,4265.5,161.3
W12_zonepull_V1,12085,37.99,0.691,8350.6,155.6
W24_zonepull_V1,12521,37.98,0.668,8364.7,155.5
W12_zonepull_V2,5239,37.97,0.699,3661.2,159.2
W4_zonepull_V1,11583,37.93,0.692,8016.8,155.4
W8_zonepull_V1,11892,37.93,0.693,8236.9,155.3
W24_zonepull_Vx,21371,37.87,0.589,12596.4,153.6
W12_zonepull_Vx,20820,37.86,0.604,12571.1,153.7
W8_zonepull_V2,5138,37.84,0.701,3602.9,158.6
W8_zonepull_Vx,20559,37.83,0.606,12458.4,153.6
W24_zonepull_V1.5,7974,37.81,0.639,5091.7,157.5
W4_zonepull_Vx,20111,37.79,0.6,12061.2,153.4
W12_flip_V1,12085,37.72,0.522,6313.1,158.8
W4_zonepull_V2,4995,37.72,0.701,3500.9,158.5
W8_flip_V2,5138,37.68,0.525,2696.3,161.4
W12_zonepull_V1.5,7638,37.68,0.649,4958.4,157.5
W24_flip_Vx,21371,37.62,0.444,9480,157.2
W8_zonepull_V1.5,7503,37.6,0.65,4874.6,157.1
W4_zonepull_V1.5,7283,37.54,0.632,4604,157.1
W12_flip_V1.5,7638,37.5,0.495,3778.4,160.6
W8_flip_V1,11892,37.48,0.503,5979.7,158.3
W12_flip_Vx,20820,37.4,0.431,8969.2,156.9
W4_flip_V1,11583,37.3,0.475,5503.2,158.3
W4_flip_V2,4995,37.26,0.49,2449.4,161.2
W8_flip_Vx,20559,37.25,0.419,8610.7,156.6
W8_flip_V1.5,7503,37.2,0.471,3534.1,160
W24_conf_V2,5497,37.09,0.418,2297.9,161.7
W24_nextopen_V2,5497,37.09,0.417,2293.5,160.7
W12_conf_V2,5239,37.09,0.434,2272.1,161.8
W12_nextopen_V2,5239,37.09,0.433,2267.4,160.8
W4_flip_Vx,20111,37.07,0.393,7901.8,156.4
W4_conf_V1,11583,37.04,0.438,5078.3,158.2
W4_nextopen_V1,11583,37.04,0.437,5067.4,157.2
W12_conf_V1,12085,37.02,0.435,5257.6,158.4
W12_nextopen_V1,12085,37.02,0.434,5247.2,157.4
W8_conf_V2,5138,37,0.436,2242.5,161.2
W8_nextopen_V2,5138,37,0.436,2237.7,160.2
W4_conf_V2,4995,37,0.442,2208.3,161.2
W4_nextopen_V2,4995,37,0.441,2203.5,160.2
W8_conf_V1,11892,36.98,0.436,5185.6,158.1
W8_nextopen_V1,11892,36.98,0.435,5174.8,157.1
W24_conf_V1,12521,36.96,0.408,5113.1,158.3
W24_nextopen_V1,12521,36.96,0.408,5103.1,157.3
W12_conf_Vx,20820,36.89,0.368,7661.6,156.6
W24_conf_Vx,21371,36.87,0.351,7495.3,156.5
W8_conf_Vx,20559,36.87,0.37,7607.4,156.4
W4_flip_V1.5,7283,36.87,0.419,3048.4,159.9
W12_nextopen_Vx,20820,36.86,0.367,7646.7,155.6
W4_conf_Vx,20111,36.86,0.365,7339.1,156.3
W24_nextopen_Vx,21371,36.85,0.35,7480.9,155.5
W8_nextopen_Vx,20559,36.85,0.369,7592,155.4
W4_nextopen_Vx,20111,36.83,0.364,7323.6,155.3
W24_conf_V1.5,7974,36.68,0.373,2971.5,160.2
W24_nextopen_V1.5,7974,36.67,0.372,2963.6,159.2
W12_conf_V1.5,7638,36.65,0.39,2976.5,160.2
W12_nextopen_V1.5,7638,36.63,0.389,2968.1,159.2
W4_conf_V1.5,7283,36.61,0.376,2739.2,159.8
W4_nextopen_V1.5,7283,36.59,0.375,2730.6,158.8
W8_conf_V1.5,7503,36.59,0.39,2925.2,159.8
W8_nextopen_V1.5,7503,36.57,0.389,2916.7,158.8
