combo,n,winrate,avg,total,hold
W24_emapull_V2,4990,41.48,1.102,5500.6,157.7
W12_emapull_V2,4607,41.35,1.13,5206.7,157.6
W8_emapull_V2,4447,41.24,1.156,5142.8,157.2
W4_emapull_V2,4250,41.18,1.165,4949.6,156.8
W24_flip_V2,4990,40.94,0.845,4216.8,165.2
W24_emapull_V1.5,7054,40.84,1.026,7238.5,155.9
W12_emapull_V1.5,6583,40.83,1.052,6927.4,156
W8_emapull_V1.5,6384,40.74,1.069,6822,155.6
W4_emapull_V1.5,6120,40.72,1.062,6500.9,155.4
W12_emapull_V1,10125,40.6,1.044,10565.7,154
W24_emapull_V1,10715,40.59,1.02,10929.7,154
W8_emapull_V1,9873,40.54,1.054,10406.7,153.6
W4_emapull_V1,9515,40.49,1.045,9939.8,153.4
W12_emapull_Vx,16881,40.11,0.9,15197.4,152
W8_emapull_Vx,16557,40.1,0.907,15024.7,151.9
W24_emapull_Vx,17597,40.06,0.889,15636.9,152.1
W4_emapull_Vx,16056,39.99,0.889,14277.2,151.6
W24_flip_V1.5,7054,39.96,0.741,5224.7,163.3
W12_flip_V2,4607,39.66,0.733,3378.9,163.9
W24_zonepull_V2,4990,39.46,0.79,3940.7,161.6
W24_flip_V1,10715,39.44,0.717,7685.4,161.1
W12_zonepull_V2,4607,39.22,0.804,3705,161.6
W8_flip_V2,4447,39.08,0.7,3113.5,163.2
W12_flip_V1.5,6583,38.99,0.648,4263.9,162.2
W8_zonepull_V2,4447,38.99,0.822,3656.3,161.2
W24_zonepull_V1.5,7054,38.97,0.721,5083.3,159.9
W12_zonepull_V1.5,6583,38.87,0.736,4842.5,160
W4_zonepull_V2,4250,38.82,0.819,3482,160.8
W24_zonepull_V1,10715,38.76,0.744,7971.2,157.9
W12_zonepull_V1,10125,38.73,0.762,7714,157.9
W12_flip_V1,10125,38.7,0.647,6547.3,160.2
W8_zonepull_V1.5,6384,38.69,0.747,4770.5,159.7
W24_flip_Vx,17597,38.68,0.59,10384.4,158.7
W12_zonepull_Vx,16881,38.66,0.675,11394.5,155.6
W24_zonepull_Vx,17597,38.64,0.664,11692.1,155.7
W8_zonepull_Vx,16557,38.61,0.68,11261.1,155.5
W8_zonepull_V1,9873,38.59,0.769,7587.8,157.5
W4_zonepull_V1.5,6120,38.58,0.735,4495.3,159.5
W8_flip_V1.5,6384,38.49,0.615,3924.2,161.6
W4_zonepull_V1,9515,38.46,0.756,7189,157.3
W4_zonepull_Vx,16056,38.45,0.66,10594.3,155.2
W8_flip_V1,9873,38.32,0.618,6098.4,159.6
W4_flip_V2,4250,38.28,0.623,2647,162.5
W12_flip_Vx,16881,38.18,0.537,9073,158
W12_nextopen_V2,4607,38.01,0.518,2388.1,162.2
W12_conf_V2,4607,37.99,0.519,2390.4,163.2
W24_nextopen_V2,4990,37.98,0.499,2488.9,162.3
W8_flip_Vx,16557,37.96,0.517,8567.4,157.6
W24_conf_V2,4990,37.96,0.499,2490.9,163.3
W8_nextopen_V2,4447,37.89,0.541,2407.5,161.8
W8_conf_V2,4447,37.87,0.542,2410,162.8
W4_flip_V1.5,6120,37.86,0.537,3285.2,161.2
W4_nextopen_V2,4250,37.81,0.541,2300.6,161.4
W4_flip_V1,9515,37.79,0.552,5252.7,159.2
W4_conf_V2,4250,37.79,0.542,2303.2,162.4
W12_nextopen_V1,10125,37.61,0.5,5065.6,158.7
W12_conf_V1,10125,37.59,0.501,5073.1,159.7
W12_conf_V1.5,6583,37.55,0.463,3049.6,161.7
W12_nextopen_V1.5,6583,37.55,0.462,3044.4,160.7
W8_nextopen_V1,9873,37.54,0.51,5031.8,158.3
W4_flip_Vx,16056,37.52,0.46,7387.9,157.2
W24_nextopen_V1,10715,37.52,0.48,5141,158.7
W8_conf_V1,9873,37.52,0.51,5039.4,159.3
W24_conf_V1,10715,37.5,0.48,5147.9,159.7
W8_conf_V1.5,6384,37.47,0.479,3055.8,161.3
W8_nextopen_V1.5,6384,37.47,0.478,3050.3,160.3
W4_nextopen_V1,9515,37.46,0.497,4729.5,158.1
W24_conf_V1.5,7054,37.45,0.444,3133.6,161.6
W24_nextopen_V1.5,7054,37.45,0.444,3128.9,160.6
W4_conf_V1,9515,37.44,0.498,4737,159.1
W4_conf_V1.5,6120,37.43,0.468,2863.1,161.1
W4_nextopen_V1.5,6120,37.43,0.467,2857.6,160.1
W12_conf_Vx,16881,37.42,0.433,7309.1,157.6
W12_nextopen_Vx,16881,37.41,0.432,7298.7,156.6
W8_conf_Vx,16557,37.4,0.441,7293.9,157.4
W8_nextopen_Vx,16557,37.39,0.44,7283.2,156.4
W24_conf_Vx,17597,37.32,0.421,7400,157.6
W24_nextopen_Vx,17597,37.31,0.42,7390.3,156.6
W4_conf_Vx,16056,37.26,0.42,6744.8,157.1
W4_nextopen_Vx,16056,37.25,0.419,6734.3,156.1
