lag,pos,trend,wickPoked,outcome,time
12,0.7857142857142716,-1,true,DOWN,2025-12-07 12:45
1,0.6666666666666666,1,true,DOWN,2025-12-10 06:00
12,0.3333333333333025,1,true,UP,2025-12-12 11:00
1,0.09090909090908174,-1,true,UP,2025-12-14 19:45
1,0.12499999999999133,-1,true,DOWN,2025-12-15 06:15
1,0.8888888888888992,-1,true,DOWN,2025-12-16 03:45
12,0.11111111111110084,-1,true,DOWN,2025-12-16 06:30
12,0.31578947368421206,1,true,DOWN,2025-12-16 16:30
1,0.4999999999999826,1,true,UP,2025-12-28 09:45
4,0.26923076923076183,1,true,DOWN,2026-01-04 10:00
1,0.8000000000000222,-1,true,DOWN,2026-01-13 00:15
12,0.40000000000006664,-1,true,UP,2026-01-13 03:00
4,0.6249999999999827,-1,true,DOWN,2026-01-18 08:00
12,0.43750000000000866,-1,true,UP,2026-01-18 10:00
12,0.22222222222222565,1,true,DOWN,2026-01-23 23:30
1,0.09090909090908174,-1,true,DOWN,2026-02-01 23:15
4,0.5454545454545409,-1,true,UP,2026-02-02 00:00
4,1,-1,true,UP,2026-02-07 17:00
4,0,-1,true,DOWN,2026-02-08 20:30
12,1,-1,true,UP,2026-02-09 02:00
1,0.4000000000000111,-1,true,DOWN,2026-02-15 16:15
12,0,-1,true,DOWN,2026-02-16 18:30
1,1,-1,true,DOWN,2026-02-19 20:00
4,1,-1,true,DOWN,2026-02-19 20:45
12,0.6250000000000043,-1,true,UP,2026-02-19 22:45
1,0.4999999999999653,-1,true,UP,2026-02-26 22:15
1,0.666666666666677,-1,true,DOWN,2026-03-04 00:15
4,0.22222222222222565,-1,true,UP,2026-03-04 01:00
1,0,-1,true,UP,2026-03-05 16:15
4,0.666666666666677,-1,true,DOWN,2026-03-05 17:00
1,0.5454545454545523,-1,true,UP,2026-03-07 00:15
12,0.9090909090908953,-1,true,DOWN,2026-03-07 03:00
4,0.6363636363636318,1,true,DOWN,2026-03-09 20:15
12,0.09090909090910468,1,true,DOWN,2026-03-09 22:15
4,0.5714285714285827,1,true,UP,2026-03-10 06:00
1,1,1,true,UP,2026-03-11 20:15
4,0.4000000000000111,-1,true,DOWN,2026-03-13 19:45
12,0.6666666666666512,-1,true,UP,2026-03-14 13:15
4,0.4285714285714342,1,true,UP,2026-03-17 06:30
12,0.714285714285737,1,true,UP,2026-03-17 08:30
4,0,-1,true,DOWN,2026-03-19 03:45
1,0.6666666666666975,-1,true,UP,2026-03-22 00:00
1,0.8749999999999784,1,true,UP,2026-03-25 21:30
4,0.8749999999999784,1,true,UP,2026-03-25 22:15
4,0.4000000000000111,-1,true,UP,2026-03-26 21:00
1,0.4999999999999826,-1,true,DOWN,2026-03-30 19:45
1,0.5000000000000694,-1,true,DOWN,2026-04-05 04:15
1,0,1,true,DOWN,2026-04-08 09:45
12,0.5833333333333256,1,true,UP,2026-04-22 15:00
1,0,-1,true,UP,2026-04-23 22:45
4,0.8333333333333488,-1,true,UP,2026-04-23 23:30
1,0.25000000000000866,1,true,DOWN,2026-04-25 20:15
4,0.12499999999998698,1,true,DOWN,2026-04-25 21:00
4,0.7500000000000173,-1,true,UP,2026-04-27 20:00
4,0,-1,true,DOWN,2026-04-28 12:45
1,1,-1,true,UP,2026-04-30 22:00
4,0.3333333333333539,-1,true,UP,2026-04-30 22:45
12,0.7777777777777743,-1,true,UP,2026-05-01 00:45
12,0.7272727272727112,-1,true,UP,2026-05-19 22:45
4,0.1666666666666898,1,true,DOWN,2026-05-22 04:30
12,0.5714285714285827,1,true,DOWN,2026-05-22 14:00
4,0.1999999999999778,-1,true,DOWN,2026-05-24 18:00
4,0.24999999999999423,-1,true,DOWN,2026-05-28 12:30
4,0.28571428571429136,-1,true,UP,2026-06-02 20:15
1,0.9090909090909183,-1,true,UP,2026-06-18 12:45
4,0.7500000000000173,1,true,DOWN,2026-06-19 07:00
4,0.3333333333333282,-1,true,DOWN,2026-06-28 18:45
12,0,-1,true,DOWN,2026-06-28 20:45
1,0,-1,true,DOWN,2026-06-28 22:00
1,1,-1,true,DOWN,2026-06-29 22:15
4,0,-1,true,DOWN,2026-06-29 23:00
4,0.4285714285714314,1,true,UP,2026-07-02 10:45
1,0.75,1,true,UP,2026-07-02 16:15
4,0.6249999999999957,1,true,UP,2026-07-02 17:00
12,0.5,1,true,UP,2026-07-02 19:00
12,1,1,true,NONE,2026-07-03 23:00
4,1,1,true,DOWN,2026-07-04 00:15
1,0.5555555555555487,-1,true,DOWN,2026-07-07 09:30
4,0.5555555555555487,-1,true,UP,2026-07-07 10:15
4,0.5454545454545523,-1,true,DOWN,2026-07-07 14:15
1,0.5454545454545409,1,true,UP,2026-07-08 22:45
4,0.6363636363636226,1,true,UP,2026-07-08 23:30
12,0.7272727272727295,1,true,UP,2026-07-09 01:30
1,1,-1,true,UP,2026-07-12 16:15
1,0.7499999999999913,-1,false,DOWN,2026-07-13 11:15
4,0,-1,true,DOWN,2026-07-13 12:00
1,0.5000000000000694,1,true,UP,2026-07-16 19:15
1,0.3333333333333025,-1,true,UP,2026-07-18 17:00
12,0.6666666666666975,-1,true,UP,2026-07-18 19:45
1,0,-1,true,UP,2026-07-19 02:15
4,0,-1,true,DOWN,2026-07-19 03:00
4,0.7499999999999654,-1,true,DOWN,2026-07-23 09:00
12,0,-1,true,DOWN,2026-07-23 11:00
1,1,-1,true,UP,2026-07-25 00:00
12,0,1,true,UP,2026-07-26 02:15
1,0,1,true,UP,2026-07-26 19:45
4,1,1,true,UP,2026-07-26 20:30
1,0.4999999999999826,-1,true,UP,2026-07-29 00:15
12,0.7499999999999913,1,true,DOWN,2026-07-30 21:30
12,0,-1,true,DOWN,2026-07-31 13:00
1,0,-1,true,DOWN,2026-07-31 16:00
4,0,-1,true,DOWN,2026-07-31 16:45
12,0.6666666666666615,-1,true,DOWN,2026-07-31 18:45
1,1,1,true,UP,2026-08-01 15:00
1,1,1,true,UP,2026-08-02 23:15
12,0.3333333333333333,1,true,UP,2026-08-05 13:45
12,0,1,true,DOWN,2026-08-07 14:00
1,0,-1,true,DOWN,2026-08-08 00:15
4,1,-1,true,UP,2026-08-08 01:00
12,1,-1,true,UP,2026-08-08 03:00
