lag,pos,trend,wickPoked,outcome,time
1,0.26923076923077743,1,true,DOWN,2025-03-11 17:30
4,0.3658536585365999,-1,true,UP,2025-03-12 06:45
1,0.14285714285718062,1,true,UP,2025-03-14 18:15
12,0.28571428571430835,1,true,UP,2025-03-14 21:00
1,0.44444444444443415,1,true,DOWN,2025-03-19 17:45
1,0.6956521739130246,-1,true,UP,2025-03-20 20:15
1,0.5161290322580807,-1,true,UP,2025-03-21 00:15
12,0.620689655172419,1,true,UP,2025-03-25 11:15
1,0.1846153846153967,-1,true,UP,2025-03-26 19:15
4,0.43333333333332225,-1,true,DOWN,2025-03-27 19:15
1,0.6470588235294137,1,true,UP,2025-04-12 08:15
4,0.3529411764705863,1,true,UP,2025-04-12 09:00
4,0.7499999999999885,-1,true,UP,2025-04-13 09:00
4,0,1,true,DOWN,2025-04-14 20:00
12,1,1,true,UP,2025-04-17 21:45
4,0.7142857142857445,-1,true,DOWN,2025-04-27 08:45
1,0.21875000000000433,1,true,DOWN,2025-04-28 23:30
4,0.8846153846153567,-1,true,UP,2025-04-29 19:30
12,0.8846153846153567,-1,true,DOWN,2025-04-29 21:30
4,0.8289473684210555,1,true,UP,2025-05-08 09:30
12,0.7631578947368372,1,true,UP,2025-05-08 11:30
4,0.09756097560974553,-1,true,DOWN,2025-05-15 01:00
1,0.9571428571428461,-1,true,UP,2025-05-15 23:30
4,0.6714285714285603,-1,true,UP,2025-05-16 00:15
12,0.7846153846153896,1,true,DOWN,2025-05-18 11:00
12,0.6250000000000043,-1,true,DOWN,2025-05-21 01:00
1,0.20689655172412208,-1,true,DOWN,2025-05-24 21:30
12,0.13793103448274807,-1,true,DOWN,2025-05-25 00:15
1,0.9393939393939456,-1,true,UP,2025-05-25 12:15
4,0.21212121212122437,-1,true,UP,2025-05-25 13:00
1,0.2916666666666397,1,true,DOWN,2025-05-26 08:15
4,0.869565217391296,-1,true,UP,2025-06-21 16:45
1,0.608695652173912,1,true,UP,2025-06-28 19:45
4,0.02857142857144126,1,true,DOWN,2025-06-30 01:00
4,0.5483870967742063,1,true,DOWN,2025-07-14 16:45
1,0.4857142857142712,-1,true,DOWN,2025-07-24 19:15
4,0.5428571428571546,-1,true,UP,2025-07-24 20:00
12,0.23255813953488552,-1,true,DOWN,2025-07-25 06:30
1,0.7272727272727295,-1,true,UP,2025-08-05 20:00
4,0.6818181818181887,-1,true,UP,2025-08-05 20:45
12,1,1,true,UP,2025-08-09 23:00
12,0.7884615384615397,1,true,UP,2025-08-14 01:00
1,0.2727272727272452,1,true,DOWN,2025-08-17 00:15
12,0.7719298245614062,-1,true,DOWN,2025-08-19 21:45
1,1,1,true,DOWN,2025-08-20 17:45
4,0.6666666666666666,-1,true,DOWN,2025-08-29 13:30
1,0.31578947368423205,-1,true,DOWN,2025-08-30 19:15
4,0.21052631578944908,-1,true,DOWN,2025-08-30 20:00
1,0.05882352941176086,1,true,DOWN,2025-09-08 20:15
4,0.7058823529411957,1,true,UP,2025-09-08 21:00
1,0.733333333333353,1,true,UP,2025-09-09 10:15
4,0.04878048780487276,1,true,UP,2025-09-13 14:45
12,0.9268292682926909,1,true,DOWN,2025-09-13 16:45
1,0.5357142857143012,-1,true,UP,2025-10-06 00:15
1,0.3144329896907218,-1,true,UP,2025-10-11 01:15
12,0.6363636363636456,-1,true,UP,2025-10-18 10:00
1,0.12500000000002168,-1,true,UP,2025-10-19 06:45
1,0.4074074074074188,1,true,UP,2025-10-29 18:45
4,0.6666666666666666,1,true,UP,2025-10-29 19:30
1,0.3478260869565202,-1,true,UP,2025-11-05 21:30
4,0.23913043478260687,-1,true,UP,2025-11-05 22:15
1,0.3684210526315705,1,true,DOWN,2025-11-11 11:15
12,0.8399999999999955,-1,true,DOWN,2025-11-14 07:30
4,0.2105263157894783,-1,true,DOWN,2025-11-18 00:00
4,0,1,true,DOWN,2025-11-25 05:00
1,0.928571428571437,1,true,UP,2025-12-02 00:15
12,1,1,true,UP,2025-12-03 17:00
4,0.7600000000000044,-1,true,DOWN,2025-12-04 16:30
1,0.14285714285712586,-1,true,DOWN,2025-12-07 10:00
