symbol,lag,pos,trend,wickPoked,outcome,time
BTCUSDT,1,0.19979402677653704,-1,true,DOWN,2022-05-06 07:45
BTCUSDT,4,0.24376558603490142,-1,true,UP,2022-05-06 14:30
BTCUSDT,12,0.372993389990552,-1,true,UP,2022-05-25 16:30
BTCUSDT,4,0.07258064516130847,1,true,UP,2022-05-29 09:15
BTCUSDT,12,0.8417266187049864,1,true,DOWN,2022-06-03 04:30
BTCUSDT,1,0.7552836484983255,1,true,UP,2022-06-06 13:45
BTCUSDT,1,0.20223880597015198,1,true,DOWN,2022-06-07 23:00
BTCUSDT,4,0.6481481481481444,1,true,UP,2022-06-21 00:30
BTCUSDT,12,0.2826086956521898,1,true,UP,2022-06-21 02:30
BTCUSDT,4,0.642076502732266,1,true,UP,2022-06-26 00:45
BTCUSDT,12,0.31241084165475425,1,true,DOWN,2022-06-26 14:30
BTCUSDT,12,0.6677777777777616,-1,true,DOWN,2022-07-01 13:30
BTCUSDT,4,0.4223300970872672,-1,true,DOWN,2022-07-02 19:45
BTCUSDT,12,0.6644219977553502,-1,true,DOWN,2022-07-25 22:00
BTCUSDT,1,0.025179856115101207,1,true,DOWN,2022-07-30 02:00
BTCUSDT,4,0.03687050359710897,1,true,DOWN,2022-07-30 02:45
BTCUSDT,1,0.3848101265822969,-1,true,DOWN,2022-08-11 21:45
BTCUSDT,4,0.02908277404920025,1,true,DOWN,2022-08-13 07:00
BTCUSDT,4,0.998065764023239,-1,true,UP,2022-08-16 19:00
BTCUSDT,1,0.9710789766407274,-1,true,DOWN,2022-08-19 19:15
BTCUSDT,4,0.3748609566184822,-1,true,DOWN,2022-08-19 20:00
BTCUSDT,12,0.911999999999971,1,true,DOWN,2022-08-21 23:45
BTCUSDT,12,0.3155487804877675,1,true,DOWN,2022-08-26 03:00
BTCUSDT,12,0.3886255924170431,-1,true,UP,2022-09-05 13:30
BTCUSDT,1,0.7774193548387214,1,true,DOWN,2022-09-09 23:30
BTCUSDT,1,0.001609442060101438,1,true,UP,2022-09-11 06:45
BTCUSDT,4,0.8980686695278978,1,true,UP,2022-09-11 07:30
BTCUSDT,1,0.7096461463887512,1,false,UP,2022-09-11 12:15
BTCUSDT,4,0.6728065923412552,1,true,UP,2022-09-11 13:00
BTCUSDT,12,0.5264178380998578,1,true,UP,2022-09-11 15:00
BTCUSDT,4,0.7126789366053297,-1,true,UP,2022-09-13 22:30
BTCUSDT,12,0.6717791411043069,-1,true,UP,2022-09-14 00:30
BTCUSDT,4,0.7368421052631623,-1,true,UP,2022-09-14 12:45
BTCUSDT,12,0.30892448512585297,-1,true,DOWN,2022-09-14 14:45
BTCUSDT,1,0.9399999999999377,1,true,UP,2022-09-24 03:45
BTCUSDT,12,0.07428571428567271,1,true,DOWN,2022-09-24 06:30
BTCUSDT,12,0.4733096085409239,-1,true,DOWN,2022-10-01 14:15
BTCUSDT,12,0.9069767441860465,-1,true,DOWN,2022-10-02 22:00
BTCUSDT,4,0.8389955686853569,-1,true,DOWN,2022-10-12 13:30
BTCUSDT,12,0.37518463810932323,-1,true,DOWN,2022-10-12 15:30
BTCUSDT,1,0.34426229508200634,1,true,DOWN,2022-10-12 22:15
BTCUSDT,4,0.07224334600766188,-1,true,DOWN,2022-10-15 20:15
BTCUSDT,1,0.7813953488371754,-1,true,DOWN,2022-10-24 13:45
BTCUSDT,12,0.6167664670657979,1,true,DOWN,2022-11-05 14:00
BTCUSDT,4,0.7912087912087912,-1,true,DOWN,2022-11-06 17:00
BTCUSDT,1,0.3799126637555265,-1,true,UP,2022-11-13 03:15
BTCUSDT,4,0.3999999999999118,-1,true,DOWN,2022-12-03 12:00
BTCUSDT,12,0.07272727272731683,-1,true,DOWN,2022-12-03 14:00
BTCUSDT,12,0.9311926605504565,-1,true,UP,2022-12-04 04:15
BTCUSDT,12,0.3090909090908209,-1,true,DOWN,2022-12-12 05:45
BTCUSDT,4,0.4732824427480683,1,true,UP,2022-12-14 09:30
BTCUSDT,1,0.7050359712229877,-1,true,UP,2022-12-15 19:00
BTCUSDT,12,0.665467625899298,-1,true,DOWN,2022-12-15 21:45
BTCUSDT,12,0.2918454935622096,-1,true,UP,2022-12-17 09:30
BTCUSDT,4,0.6681818181816859,1,true,DOWN,2022-12-18 23:30
BTCUSDT,12,0.9090909090909091,1,true,UP,2022-12-19 01:30
BTCUSDT,1,0.1574074074074074,1,true,DOWN,2022-12-23 13:45
BTCUSDT,12,0.35135135135206885,-1,true,DOWN,2022-12-25 17:30
BTCUSDT,12,0.1124620060790445,-1,true,DOWN,2022-12-28 17:30
BTCUSDT,12,0.053156146179470655,-1,true,DOWN,2023-01-01 10:00
BTCUSDT,1,0.81859070464769,1,true,UP,2023-01-21 08:15
BTCUSDT,12,0.5708737864077953,-1,true,DOWN,2023-01-22 17:45
BTCUSDT,4,0.189230769230814,1,true,UP,2023-01-26 14:30
BTCUSDT,4,0.8535156250000021,-1,true,UP,2023-02-22 20:00
BTCUSDT,12,0.8071428571428052,-1,true,UP,2023-02-24 22:30
BTCUSDT,1,0.8728606356968859,-1,true,UP,2023-02-28 14:45
BTCUSDT,4,0.6322067594433346,1,true,UP,2023-03-01 09:45
BTCUSDT,12,0.38369781312126344,1,true,UP,2023-03-01 11:45
BTCUSDT,4,0.9203980099502599,-1,true,UP,2023-03-03 14:45
BTCUSDT,12,0.9502487562189049,-1,true,UP,2023-03-03 16:45
BTCUSDT,1,0.34874759152216744,1,true,DOWN,2023-03-14 05:15
BTCUSDT,4,0.24951830443157996,1,true,DOWN,2023-03-14 06:00
BTCUSDT,4,0.6703030303030215,1,true,UP,2023-03-18 17:30
BTCUSDT,4,0.5670538542766499,1,true,DOWN,2023-03-21 17:30
BTCUSDT,4,0.20919540229885894,1,true,NONE,2023-03-27 06:45
BTCUSDT,12,0.973563218390813,1,true,NONE,2023-03-27 08:45
BTCUSDT,12,0.7001078748651274,1,true,DOWN,2023-03-27 12:15
BTCUSDT,4,0.6567164179104569,1,true,UP,2023-03-30 03:15
BTCUSDT,4,0.1875,1,true,DOWN,2023-03-30 08:30
BTCUSDT,12,0.48377581120940627,1,true,UP,2023-04-08 08:45
BTCUSDT,12,0.0927835051546121,1,true,UP,2023-04-10 07:45
BTCUSDT,4,0.03162055335967915,-1,true,DOWN,2023-04-16 02:00
BTCUSDT,1,0.2620387742338861,-1,false,DOWN,2023-04-16 04:45
BTCUSDT,4,0.3083176985616007,-1,false,DOWN,2023-04-16 05:30
BTCUSDT,12,0.529080675422137,-1,false,DOWN,2023-04-16 07:30
BTCUSDT,12,0.3988970588234919,1,true,DOWN,2023-04-23 01:00
BTCUSDT,4,0.40404040404039415,1,true,DOWN,2023-04-26 07:00
BTCUSDT,4,0.4633507853402988,1,true,UP,2023-05-05 13:30
BTCUSDT,1,0.19210053859965148,-1,true,DOWN,2023-05-16 17:00
BTCUSDT,4,0.8952380952382338,-1,true,UP,2023-05-20 13:00
BTCUSDT,12,0.35294117647058826,-1,true,UP,2023-05-30 06:15
BTCUSDT,4,0.9189765458422355,1,true,UP,2023-06-29 18:00
BTCUSDT,12,0.21961620469080922,1,true,DOWN,2023-06-29 20:00
BTCUSDT,4,0.31000000000003636,-1,true,DOWN,2023-07-23 00:15
BTCUSDT,1,0.7048710601719529,1,true,DOWN,2023-08-02 07:00
BTCUSDT,4,0.4378818737271006,-1,true,DOWN,2023-08-09 20:45
