symbol,lag,pos,trend,wickPoked,outcome,time
BTCUSDT,12,0.09414732593341961,1,true,DOWN,2021-09-09 23:15
BTCUSDT,12,0.2396544797107299,1,true,UP,2021-10-15 23:15
BTCUSDT,1,0.19979402677653704,-1,true,DOWN,2022-05-06 07:45
BTCUSDT,1,0.7774193548387214,1,true,DOWN,2022-09-09 23:30
BTCUSDT,12,0.4733096085409239,-1,true,DOWN,2022-10-01 14:15
BTCUSDT,12,0.35135135135206885,-1,true,DOWN,2022-12-25 17:30
BTCUSDT,1,0.34874759152216744,1,true,DOWN,2023-03-14 05:15
BTCUSDT,4,0.24951830443157996,1,true,DOWN,2023-03-14 06:00
BTCUSDT,4,0.31000000000003636,-1,true,DOWN,2023-07-23 00:15
BTCUSDT,4,0.602380952380935,-1,true,UP,2023-08-23 07:45
BTCUSDT,12,0.23809523809523808,-1,true,DOWN,2023-08-23 09:45
BTCUSDT,4,0.8021582733812898,1,true,DOWN,2023-09-24 18:45
BTCUSDT,12,0.7483530961791592,1,true,UP,2023-10-18 07:45
BTCUSDT,12,0.05714285714294954,1,true,DOWN,2024-05-26 02:00
BTCUSDT,4,0.12145454545452429,1,true,UP,2025-05-12 08:00
BTCUSDT,1,0.9173693086002759,1,true,DOWN,2025-10-27 13:45
BTCUSDT,4,0.2685973878478214,-1,true,DOWN,2026-02-08 00:00
BTCUSDT,12,0.5706984667802196,-1,true,DOWN,2026-02-08 02:00
ETHUSDT,12,0.15613382899627073,1,true,DOWN,2020-11-24 09:00
ETHUSDT,12,0.6404494382022493,1,true,UP,2020-11-30 11:00
ETHUSDT,12,0.05459770114944068,1,true,DOWN,2022-07-03 07:45
ETHUSDT,1,0.3693877551020692,1,true,DOWN,2023-03-14 05:15
ETHUSDT,4,0.26938775510206925,1,true,UP,2023-03-14 06:00
ETHUSDT,12,0.8369098712445991,-1,true,DOWN,2023-05-14 09:00
ETHUSDT,4,0.11111111111099883,-1,true,DOWN,2023-08-15 12:30
ETHUSDT,12,0.3085106382979367,1,true,DOWN,2023-09-16 22:00
ETHUSDT,12,0.19408369408369625,-1,true,UP,2024-09-06 10:15
ETHUSDT,12,0.69235709698138,1,true,DOWN,2025-06-08 01:30
ETHUSDT,12,0.8258928571428132,1,true,DOWN,2025-07-14 00:30
ETHUSDT,12,0.34912043301760753,-1,true,DOWN,2025-11-14 07:30
ETHUSDT,4,0.4194029850746301,-1,true,UP,2025-12-06 15:15
ETHUSDT,1,0.9057071960297507,-1,true,UP,2026-02-07 16:15
ETHUSDT,12,0.012722646310420792,1,true,DOWN,2026-06-09 00:00
SOLUSDT,1,0.28888888888891523,-1,true,UP,2023-09-13 07:45
SOLUSDT,12,0.7750000000000067,1,true,DOWN,2023-09-29 10:30
SOLUSDT,1,0.9923566878980888,-1,true,UP,2024-05-23 20:15
SOLUSDT,1,0.44031311154598085,-1,true,UP,2024-09-23 21:30
SOLUSDT,1,0.349315068493162,-1,true,UP,2025-01-13 14:45
SOLUSDT,12,0.8424657534246655,-1,true,DOWN,2025-01-13 17:30
SOLUSDT,1,0.38636363636364957,1,true,UP,2025-04-28 10:15
SOLUSDT,4,0.6923076923076906,1,true,UP,2025-07-27 23:00
SOLUSDT,12,0.9166666666666543,-1,true,UP,2026-01-21 01:30
SOLUSDT,12,0.29032258064517014,-1,true,DOWN,2026-02-02 02:00
SOLUSDT,4,0.9111111111111294,-1,true,UP,2026-02-07 17:00
SOLUSDT,4,0.5294117647058971,-1,true,DOWN,2026-03-08 23:00
SOLUSDT,12,0.9411764705882057,-1,true,UP,2026-03-09 01:00
XRPUSDT,12,0.23076923076922748,-1,true,DOWN,2021-03-12 16:00
XRPUSDT,12,0.15217391304351183,1,true,DOWN,2021-10-14 17:15
XRPUSDT,4,0.6999999999999968,1,true,UP,2021-10-28 19:30
XRPUSDT,1,0.14814814814812377,-1,true,UP,2021-11-23 09:45
XRPUSDT,12,0.7692307692307889,-1,true,UP,2022-01-04 08:45
XRPUSDT,1,0.7222222222221948,1,true,DOWN,2022-04-13 09:30
XRPUSDT,12,0.5999999999999889,1,true,DOWN,2022-08-25 23:30
XRPUSDT,1,0.6363636363636409,1,true,UP,2022-11-05 18:15
XRPUSDT,12,0.0909090909091276,1,true,DOWN,2022-11-05 21:00
XRPUSDT,12,0.9354838709677399,1,true,UP,2022-11-10 08:00
XRPUSDT,12,1,1,true,UP,2023-05-05 15:30
XRPUSDT,4,1,1,true,DOWN,2023-06-02 13:30
XRPUSDT,12,0,-1,true,DOWN,2023-07-10 03:00
XRPUSDT,12,0.2222222222222565,-1,true,UP,2024-10-23 19:45
XRPUSDT,4,0.778947368421055,-1,true,UP,2025-11-14 05:30
XRPUSDT,12,0.9473684210526143,-1,true,UP,2025-11-14 07:30
XRPUSDT,12,0.5208333333333314,1,true,DOWN,2025-12-03 17:00
XRPUSDT,12,0.698412698412695,1,true,UP,2025-12-08 12:00
XRPUSDT,4,0.17821782178218062,-1,true,UP,2026-02-02 00:00
XRPUSDT,12,0.30693069306929516,-1,true,DOWN,2026-02-02 02:00
XRPUSDT,4,0.719999999999936,-1,true,DOWN,2026-03-08 23:00
XRPUSDT,4,0.3478260869565196,-1,true,UP,2026-03-17 14:30
BNBUSDT,4,0,1,true,DOWN,2021-06-01 09:00
BNBUSDT,4,0.6336206896551705,-1,true,DOWN,2021-11-16 01:00
BNBUSDT,1,0.12820512820508898,1,true,DOWN,2022-01-15 20:00
BNBUSDT,4,0.3129770992366164,-1,true,DOWN,2022-05-18 21:30
