symbol,state,tEntry
BTCUSDT,2,2025-11-26T17:45
BTCUSDT,0,2025-12-09T16:00
BTCUSDT,1,2025-12-12T16:00
BTCUSDT,0,2025-12-15T15:15
BTCUSDT,0,2026-03-02T15:30
BTCUSDT,0,2026-04-07T22:00
BTCUSDT,1,2026-06-14T21:45
BTCUSDT,0,2026-06-25T13:45
ETHUSDT,2,2021-01-02T13:15
ETHUSDT,0,2021-03-13T10:15
ETHUSDT,0,2021-03-24T19:15
ETHUSDT,2,2021-03-29T09:00
ETHUSDT,1,2021-04-12T07:15
ETHUSDT,2,2021-06-30T19:45
ETHUSDT,2,2021-07-23T22:45
ETHUSDT,2,2021-07-26T00:15
ETHUSDT,0,2021-07-27T12:45
ETHUSDT,2,2021-07-30T21:00
ETHUSDT,0,2021-08-09T10:30
ETHUSDT,2,2021-08-30T16:45
ETHUSDT,2,2021-08-31T08:15
ETHUSDT,2,2021-09-18T20:15
ETHUSDT,0,2021-10-06T13:30
ETHUSDT,2,2021-12-13T01:45
ETHUSDT,0,2021-12-23T18:15
ETHUSDT,2,2022-02-21T12:00
ETHUSDT,0,2022-03-07T19:30
ETHUSDT,1,2022-04-10T23:00
ETHUSDT,2,2022-05-20T15:30
ETHUSDT,0,2022-07-05T20:00
ETHUSDT,2,2022-07-14T16:15
ETHUSDT,0,2022-09-21T22:00
ETHUSDT,0,2022-11-20T10:30
ETHUSDT,2,2022-12-07T07:15
ETHUSDT,1,2023-01-04T01:45
ETHUSDT,0,2023-02-12T22:00
ETHUSDT,0,2023-03-01T04:45
ETHUSDT,0,2023-03-21T12:45
ETHUSDT,2,2023-05-08T01:15
ETHUSDT,1,2023-06-30T18:15
ETHUSDT,1,2023-07-20T15:45
ETHUSDT,1,2023-09-15T22:45
ETHUSDT,0,2023-12-01T01:15
ETHUSDT,0,2023-12-05T17:45
ETHUSDT,2,2023-12-07T15:30
ETHUSDT,0,2024-02-12T15:30
ETHUSDT,0,2024-02-14T08:45
ETHUSDT,2,2024-02-22T08:30
ETHUSDT,1,2024-02-26T16:15
ETHUSDT,2,2024-03-06T06:00
ETHUSDT,1,2024-03-11T08:00
ETHUSDT,0,2024-04-19T02:00
ETHUSDT,0,2024-05-10T14:45
ETHUSDT,0,2024-05-13T03:00
ETHUSDT,1,2024-05-17T07:30
ETHUSDT,0,2024-06-10T07:45
ETHUSDT,0,2024-08-02T14:45
ETHUSDT,0,2024-08-20T14:45
ETHUSDT,0,2024-09-23T03:15
ETHUSDT,1,2024-10-01T13:45
ETHUSDT,2,2024-10-14T04:00
ETHUSDT,2,2024-11-17T02:15
ETHUSDT,1,2024-12-06T15:30
ETHUSDT,0,2024-12-30T14:45
ETHUSDT,2,2025-01-12T09:15
ETHUSDT,2,2025-01-19T08:45
ETHUSDT,2,2025-02-06T15:45
ETHUSDT,2,2025-02-09T21:45
ETHUSDT,0,2025-02-26T13:45
ETHUSDT,0,2025-05-08T03:30
ETHUSDT,1,2025-06-09T11:00
ETHUSDT,2,2025-07-08T12:00
ETHUSDT,2,2025-10-01T08:45
ETHUSDT,2,2025-11-12T16:15
ETHUSDT,0,2025-11-19T05:30
ETHUSDT,2,2025-11-20T16:45
ETHUSDT,0,2025-12-15T15:15
ETHUSDT,0,2026-01-22T15:15
ETHUSDT,0,2026-03-02T15:30
ETHUSDT,2,2026-03-04T09:00
ETHUSDT,0,2026-04-07T22:00
ETHUSDT,1,2026-05-13T14:00
ETHUSDT,0,2026-06-14T21:30
