variant,exit,n,win,exp,pf,oosN,oosWin,oosExp
V1,E10,1094,68,0.042,1.13,367,64.9,-0.009
V2,E10,6758,67.1,0.017,1.05,2258,66.1,0.011
V2F,E10,4426,67.8,0.008,1.02,1406,66.3,-0.01
V7,E10,1094,68,0.042,1.13,367,64.9,-0.009
V7F,E10,309,68,0.045,1.14,107,58.9,-0.087
V1,A0,1094,52.7,0.019,1.04,367,51.8,-0.006
V2,A0,6758,50.7,-0.017,0.96,2258,49.2,-0.044
V2F,A0,4426,51.2,-0.032,0.94,1406,48.2,-0.093
V7,A0,1094,52.7,0.019,1.04,367,51.8,-0.006
V7F,A0,309,56.3,0.092,1.21,107,48.6,-0.061
