symbol,config,state,cycleLen,crossStart,confStart,xuoiEarly,winBase,pnlBase,pnlConf,pnlStrict,pnlEntryConf,holdConf
IMXUSDT,5,10,-1,119,XUOI,false,true,0,-5.627,-4.693,-5.627,-5.627,118
IMXUSDT,5,10,1,103,XUOI,false,true,0,-2.67,-3.588,-4.712,-2.67,10
IMXUSDT,5,10,-1,82,NONE,false,true,0,-7.189,-1.121,-3.269,-8.654,4
IMXUSDT,5,10,1,111,NGUOC,true,false,0,-8.03,-0.265,-4.153,,2
IMXUSDT,5,10,-1,104,XUOI,false,true,0,-5.524,-4.868,-4.868,-5.524,102
IMXUSDT,5,10,1,98,XUOI,false,true,0,-6.443,0.227,-2.278,-6.443,86
IMXUSDT,5,10,-1,99,XUOI,false,true,0,-9.731,-3.408,-7.912,-9.731,15
IMXUSDT,5,10,1,276,XUOI,false,true,1,3.637,7.241,5.594,3.637,74
IMXUSDT,5,10,-1,294,XUOI,false,true,1,1.773,-3.705,-3.705,1.773,105
IMXUSDT,5,10,1,441,XUOI,false,true,1,18.891,-4.249,19.789,18.891,4
IMXUSDT,5,10,-1,306,XUOI,false,true,1,8.964,-0.828,11.101,8.964,27
IMXUSDT,5,10,1,250,XUOI,false,true,0,-0.85,6.796,7.269,-0.85,194
IMXUSDT,5,10,-1,299,XUOI,false,true,0,-4.068,-1.681,-2.738,-4.068,128
IMXUSDT,5,10,1,41,XUOI,false,true,0,-7.056,-2.214,-3.915,-7.056,14
IMXUSDT,5,10,-1,508,XUOI,false,true,1,14.87,-1.138,9.792,14.87,45
IMXUSDT,5,10,1,55,XUOI,false,true,0,-10.029,-7.408,-8.975,-10.029,51
IMXUSDT,5,10,-1,108,XUOI,false,true,0,-11.418,-6.03,-6.747,-11.418,8
IMXUSDT,5,10,1,72,XUOI,false,true,0,-13.132,-3.069,-5.691,-13.132,35
IMXUSDT,5,10,-1,108,XUOI,false,true,0,-9.787,-6.029,-9.009,-9.787,60
IMXUSDT,5,10,1,261,XUOI,false,true,1,2.922,-2.146,3.497,2.922,64
IMXUSDT,5,10,-1,129,XUOI,false,true,0,-6.659,-4.39,-6.633,-6.659,43
