symbol,config,state,cycleLen,crossStart,confStart,xuoiEarly,winBase,pnlBase,pnlConf,pnlStrict,pnlEntryConf,holdConf
IMXUSDT,10,10,1,64,NONE,false,true,0,-7.644,1.007,-1.903,-9.173,47
IMXUSDT,10,10,-1,148,XUOI,false,true,0,-2.074,-0.618,0.191,-2.074,22
IMXUSDT,10,10,1,67,XUOI,false,true,0,-5.227,-5.978,-5.555,-5.227,45
IMXUSDT,10,10,-1,97,XUOI,false,true,0,-2.294,-0.268,-0.626,-2.294,47
IMXUSDT,10,10,1,149,XUOI,false,true,0,-1.614,0.694,-1.614,-1.614,141
IMXUSDT,10,10,-1,434,XUOI,false,true,1,19.115,7.159,6.966,19.115,141
IMXUSDT,10,10,1,38,NGUOC,false,false,0,-7.592,-1.507,-3.646,,3
IMXUSDT,10,10,-1,176,XUOI,false,true,1,3.273,6.589,4.794,3.273,81
IMXUSDT,10,10,1,39,XUOI,false,true,0,-6.012,-6.012,-6.012,-6.012,39
IMXUSDT,10,10,-1,106,NONE,false,false,1,5.627,14.768,7.815,,70
IMXUSDT,10,10,1,206,XUOI,false,true,0,-3.364,-3.298,-3.158,-3.364,33
IMXUSDT,10,10,-1,43,XUOI,false,true,0,-6.277,-4.055,-4.055,-6.277,40
IMXUSDT,10,10,1,36,XUOI,false,true,0,-10.763,-6.569,-10.763,-10.763,16
IMXUSDT,10,10,-1,84,XUOI,false,true,0,-6.139,-1.488,-1.488,-6.139,73
IMXUSDT,10,10,1,185,XUOI,false,true,1,1.617,1.617,1.617,1.617,185
IMXUSDT,10,10,-1,472,NGUOC,false,false,1,19.561,1.25,1.841,,26
IMXUSDT,10,10,1,107,XUOI,false,true,1,16.988,16.988,16.988,16.988,107
IMXUSDT,10,10,-1,79,NGUOC,false,false,0,-16.678,-3.02,-2.176,,6
IMXUSDT,10,10,1,91,XUOI,false,true,0,-13.353,-13.353,-13.353,-13.353,91
IMXUSDT,10,10,-1,70,NGUOC,false,false,0,-5.904,3.316,-1.553,,12
IMXUSDT,10,10,1,246,XUOI,false,true,1,13.242,13.242,13.242,13.242,246
IMXUSDT,10,10,-1,304,NGUOC,false,false,1,11.511,5.111,2.632,,21
IMXUSDT,10,10,1,113,XUOI,false,true,0,-3.11,-1.291,-1.678,-3.11,95
IMXUSDT,10,10,-1,64,XUOI,false,true,0,-5.014,-4.384,-4.384,-5.014,60
IMXUSDT,10,10,1,167,XUOI,false,true,1,22.94,22.94,22.94,22.94,167
