symbol,config,state,cycleLen,crossStart,confStart,xuoiEarly,winBase,pnlBase,pnlConf,pnlStrict,pnlEntryConf,holdConf
IMXUSDT,15,10,1,64,NONE,false,true,0,-7.644,-1.903,-1.903,-9.173,61
IMXUSDT,15,10,-1,148,XUOI,false,true,0,-2.074,-2.074,-2.074,-2.074,148
IMXUSDT,15,10,1,67,NGUOC,false,false,0,-5.227,-0.079,-5.555,,2
IMXUSDT,15,10,-1,97,XUOI,false,true,0,-2.294,-0.268,-0.626,-2.294,47
IMXUSDT,15,10,1,149,XUOI,false,true,0,-1.614,0.694,-1.614,-1.614,141
IMXUSDT,15,10,-1,434,XUOI,false,true,1,19.115,7.159,6.966,19.115,141
IMXUSDT,15,10,1,38,NGUOC,false,false,0,-7.592,-1.507,-3.646,,3
IMXUSDT,15,10,-1,176,XUOI,false,true,1,3.273,6.589,4.794,3.273,81
IMXUSDT,15,10,1,39,XUOI,false,true,0,-6.012,-6.012,-6.012,-6.012,39
IMXUSDT,15,10,-1,106,NONE,false,false,1,5.627,7.89,7.89,,88
IMXUSDT,15,10,1,206,XUOI,false,true,0,-3.364,-3.298,-3.158,-3.364,33
IMXUSDT,15,10,-1,43,XUOI,false,true,0,-6.277,-4.055,-4.055,-6.277,40
IMXUSDT,15,10,1,36,XUOI,false,true,0,-10.763,-6.569,-10.763,-10.763,16
IMXUSDT,15,10,-1,84,XUOI,false,true,0,-6.139,-1.488,-1.488,-6.139,73
IMXUSDT,15,10,1,185,XUOI,false,true,1,1.617,1.617,1.617,1.617,185
IMXUSDT,15,10,-1,472,NGUOC,false,false,1,19.561,1.25,1.841,,26
IMXUSDT,15,10,1,107,XUOI,false,true,1,16.988,16.988,16.988,16.988,107
IMXUSDT,15,10,-1,79,NGUOC,false,false,0,-16.678,-3.02,-2.176,,6
IMXUSDT,15,10,1,91,XUOI,false,true,0,-13.353,-12.65,-12.65,-13.353,70
IMXUSDT,15,10,-1,70,XUOI,false,true,0,-5.904,-4.942,-4.942,-5.904,58
IMXUSDT,15,10,1,246,NONE,false,true,1,13.242,13.242,13.242,11.768,246
IMXUSDT,15,10,-1,304,NGUOC,false,false,1,11.511,5.111,2.632,,21
IMXUSDT,15,10,1,113,XUOI,false,true,0,-3.11,-3.332,-3.332,-3.11,109
IMXUSDT,15,10,-1,64,XUOI,false,true,0,-5.014,-3.177,-4.384,-5.014,58
IMXUSDT,15,10,1,167,XUOI,false,true,1,22.94,22.94,22.94,22.94,167
IMXUSDT,15,10,-1,71,NGUOC,false,false,0,-8.785,-3.959,-10.335,,4
IMXUSDT,15,10,1,185,XUOI,false,true,0,-0.912,-2.642,1.378,-0.912,72
IMXUSDT,15,10,-1,270,XUOI,false,true,0,-3.231,-7.399,-7.399,-3.231,33
IMXUSDT,15,10,1,180,NGUOC,false,false,0,-1.466,-0.901,-3.948,,5
IMXUSDT,15,10,-1,16,NONE,false,false,0,-5.819,-1.253,-1.253,,2
IMXUSDT,15,10,1,345,XUOI,false,true,1,5.123,11.704,7.029,5.123,280
IMXUSDT,15,10,-1,99,XUOI,false,true,0,-0.771,2.109,2.109,-0.771,92
IMXUSDT,15,10,1,125,XUOI,false,true,0,-2.509,0.706,-1.429,-2.509,108
IMXUSDT,15,10,-1,37,XUOI,false,true,0,-5.512,-7.156,-7.033,-5.512,34
IMXUSDT,15,10,1,124,XUOI,false,true,0,-4.904,-1.794,-3.791,-4.904,6
IMXUSDT,15,10,-1,48,XUOI,false,true,0,-3.892,-3.892,-3.892,-3.892,48
