symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,1,-2.1,0,SL,40,1,185,0,0,-3.37,4.25,1.32,1.32,0.64,0.38,3,0,1.17,0,1,0,0.79
IMXUSDT,1,-2.1,0,SL,8,2,374,0,1,-0.67,1.21,1.39,1.86,0.53,0.45,112,1,0.57,-0.26,1,0,0.84
IMXUSDT,-1,1.9,1,TP,3,1,1192,0,0,-2.86,3.43,0.56,0.56,0.73,0.21,177,0,0.74,0,-1,18,0.91
IMXUSDT,-1,-2.1,0,SL,29,1,399,0,0,-2.03,5.4,0.86,0.86,0.36,0.57,47,1,0.96,0,-1,7,0.23
IMXUSDT,-1,1.9,1,TP,18,1,300,0,0,-2.64,4.9,1.46,1.46,0.42,0.63,86,0,1.29,0,-1,8,0.39
IMXUSDT,-1,1.9,1,TP,109,4,517,0,3,-1.21,1.96,0.53,0.72,0.33,0.22,165,0,0.98,-0.02,-1,6,0.43
IMXUSDT,1,1.9,1,TP,33,2,165,0,1,-0.78,2.29,1.03,1.35,0.81,0.81,426,0,2.29,-0.24,1,16,1.24
IMXUSDT,1,1.9,1,TP,4,1,1386,0,0,-1.34,7.51,0.75,0.75,1.27,0.46,260,0,2.71,0,1,17,1.65
IMXUSDT,1,1.9,1,TP,3,1,131,0,0,-1.45,0.75,0.53,0.53,1.02,1.13,117,0,2.98,0,1,8,0.74
IMXUSDT,-1,1.9,1,TP,7,1,420,0,0,-2.2,1.65,2.59,2.59,0.87,0.41,2,0,2.51,0,-1,22,1.41
IMXUSDT,-1,1.9,1,TP,30,1,573,0,0,-2.86,2.03,9.68,9.68,1.09,0.58,0,0,0.73,0,-1,12,5.3
IMXUSDT,1,-2.1,0,SL,10,3,257,0,2,-0.31,11.49,0.49,0.33,0.59,0.48,333,0,1.83,-0.08,1,11,0.31
IMXUSDT,1,1.9,1,TP,12,1,322,0,0,-2.31,7.6,1.38,1.38,0.77,0.55,321,0,0.8,0,1,10,0.74
IMXUSDT,1,1.9,1,TP,2,2,1757,0,1,-0.09,0.37,1.83,1.31,0.85,0.25,41,0,1.69,-0.55,1,9,0.96
IMXUSDT,-1,-2.1,0,SL,35,2,193,0,1,-0.05,23.26,0.41,0.51,0.56,1.13,458,0,1.74,-0.36,-1,5,0.47
IMXUSDT,-1,-2.1,0,SL,19,1,262,0,0,-2.25,0.91,3.92,3.92,0.49,0.38,0,0,0.83,0,-1,2,1.15
IMXUSDT,-1,1.9,1,TP,6,1,533,0,0,-2.05,5.75,0.96,0.96,0.79,0.73,126,0,1.54,0,-1,10,0.87
IMXUSDT,-1,-2.1,0,SL,6,2,631,0,1,-0.05,0.43,0.42,0.55,1.14,1.02,13,0,2.62,-0.63,-1,10,1.2
IMXUSDT,1,1.9,1,TP,25,4,314,0,3,-0.07,1.16,0.95,1.33,0.72,0.61,212,0,1.6,-1.49,1,18,0.97
IMXUSDT,-1,-2.1,0,SL,4,1,116,0,0,-3.76,7.22,3.97,3.97,0.91,0.4,25,0,0.71,0,-1,6,1.23
IMXUSDT,-1,1.9,1,TP,6,1,152,0,0,-2.94,5.46,1.45,1.45,0.57,0.48,18,0,1.18,0,-1,0,0.9
IMXUSDT,-1,1.9,1,TP,20,4,348,0,3,0.08,22.58,1.25,0.81,0.76,1.2,313,0,1.19,-1.27,-1,8,0.57
IMXUSDT,-1,1.9,1,TP,8,1,175,0,0,-2.18,10.25,3.04,3.04,0.69,0.31,328,0,1.96,0,-1,21,1.76
IMXUSDT,-1,1.9,1,TP,6,1,276,0,0,-0.31,1.75,0.63,0.63,1.32,0.62,18,0,2.64,0,-1,17,1.4
IMXUSDT,-1,1.9,1,TP,55,1,312,0,0,-3.33,1.46,1.04,1.04,0.65,0.15,102,0,0.69,0,-1,0,0.68
IMXUSDT,1,1.9,1,TP,20,4,537,0,3,-0.74,3.65,1.61,1.78,0.98,0.34,157,0,2.72,-1,1,16,1.36
IMXUSDT,1,-2.1,0,SL,8,4,691,0,3,0.17,3.2,0.65,1.75,0.95,0.34,311,0,2.16,-1.35,1,6,1.28
IMXUSDT,-1,1.9,1,TP,5,1,86,0,0,-2.95,4.58,0.7,0.7,0.9,0.65,161,0,0.36,0,-1,14,0.78
IMXUSDT,1,1.9,1,TP,10,1,410,0,0,-4.13,4.01,2.58,2.58,0.82,1,77,1,0.72,0,1,16,0.94
IMXUSDT,1,1.9,1,TP,18,3,531,0,2,-0.17,9.83,0.26,0.46,0.44,0.98,196,1,1.34,-0.52,1,22,0.26
IMXUSDT,1,1.9,1,TP,10,1,394,0,0,-3.38,6.33,0.88,0.88,0.58,0.47,38,0,1.72,0,1,13,0.32
IMXUSDT,1,1.9,1,TP,11,1,850,0,0,-2.03,19.55,0.79,0.79,0.74,0.42,494,0,1.93,0,1,7,0.8
IMXUSDT,-1,1.9,1,TP,12,1,522,0,0,-1.51,3.88,0.8,0.8,0.6,0.96,38,1,1.77,0,-1,17,0.47
IMXUSDT,-1,-2.1,0,SL,6,2,642,0,1,-0.8,5.22,0.41,1.24,0.63,0.97,157,1,1.13,-0.02,-1,23,0.77
IMXUSDT,1,1.9,1,TP,2,1,110,0,0,-3.92,7.44,2.7,2.7,0.75,0.28,331,0,0.89,0,1,6,1.14
IMXUSDT,1,1.9,1,TP,2,1,292,0,0,-1.89,13.26,0.72,0.72,0.91,0.36,327,0,1.46,0,1,5,1.1
IMXUSDT,1,1.9,1,TP,34,1,459,0,0,-1.45,0.19,0.79,0.79,1.07,1.16,235,0,3.23,0,1,16,1.02
IMXUSDT,-1,1.9,1,TP,13,1,158,0,0,-1.83,11.07,0.67,0.67,0.82,0.79,397,0,1.68,0,-1,8,0.66
IMXUSDT,-1,-2.1,0,SL,2,1,657,0,0,-3.94,10.78,3.05,3.05,1.25,0.81,245,0,1.43,0,-1,13,2.53
IMXUSDT,1,1.9,1,TP,11,1,112,0,0,-3.31,1.64,1,1,0.61,1.04,265,0,1.66,0,1,11,0.71
IMXUSDT,-1,1.9,1,TP,1,1,112,0,0,-3.09,9.55,1.08,1.08,1.47,0.6,276,0,3.9,0,-1,22,2.31
IMXUSDT,-1,1.9,1,TP,18,1,355,0,0,-1.46,0.55,0.6,0.6,0.52,0.32,115,0,0.32,0,-1,12,0.51
IMXUSDT,1,-2.1,0,SL,8,1,180,0,0,-4.43,5.18,4.9,4.9,1.29,0.44,66,0,0.85,0,1,16,4.21
IMXUSDT,-1,1.9,1,TP,19,1,311,0,0,-1.94,2.97,2.87,2.87,1.76,0.7,8,0,2.97,0,-1,19,3.19
IMXUSDT,1,1.9,1,TP,9,2,152,0,1,-0.71,2.95,1.31,1.18,0.49,0.32,34,0,0.94,0.25,1,12,0.55
IMXUSDT,1,1.9,1,TP,11,1,615,0,0,-1.16,1.8,1.62,1.62,0.62,0.38,6,0,1.36,0,1,8,0.68
IMXUSDT,1,1.9,1,TP,4,1,166,0,0,-2.97,6.4,2.78,2.78,0.72,0.77,133,0,1.75,0,1,2,1.38
IMXUSDT,-1,1.9,1,TP,7,1,525,0,0,-2.45,24.33,1.82,1.82,0.71,0.87,463,0,2.15,0,-1,0,0.89
IMXUSDT,-1,1.9,1,TP,21,1,1179,0,0,-1.81,1.25,0.78,0.78,1.1,1.25,150,0,2.65,0,-1,19,0.93
IMXUSDT,1,1.9,1,TP,2,1,411,0,0,-3.16,3.03,8.53,8.53,1.62,1.11,1,0,0.99,0,1,12,6.3
IMXUSDT,1,-2.1,0,SL,3,3,394,0,2,-0.85,14.03,1.6,1.1,1.18,0.41,295,0,3.3,-1.03,1,7,1.6
IMXUSDT,-1,-2.1,0,SL,25,3,506,0,2,-0.63,4.12,0.92,5.2,0.77,1.02,213,0,1.85,-0.16,-1,13,1.43
IMXUSDT,1,1.9,1,TP,32,4,173,1,2,0.18,-1.35,0.32,0.41,0.54,0.34,59,0,0.65,-0.67,1,13,0.44
IMXUSDT,1,1.9,1,TP,4,1,604,0,0,-2.79,7.2,0.94,0.94,0.47,0.52,101,0,1.38,0,1,20,0.48
IMXUSDT,-1,1.9,1,TP,34,4,298,0,3,-0.29,3.85,0.82,0.87,0.68,0.34,47,0,1.67,-0.36,-1,17,0.6
IMXUSDT,1,1.9,1,TP,7,1,582,0,0,-0.49,3.73,0.58,0.58,0.95,0.56,35,0,1.37,0,1,21,0.54
IMXUSDT,-1,1.9,1,TP,8,2,80,0,1,-0.24,0.84,0.49,0.83,1.01,0.94,92,1,1.86,-0.62,-1,17,1.15
IMXUSDT,-1,1.9,1,TP,5,1,71,0,0,-2.19,8.49,1.33,1.33,0.83,0.94,43,0,1.13,0,-1,6,0.8
IMXUSDT,-1,-2.1,0,SL,11,4,244,0,3,0.17,9.62,1.98,0.62,0.86,0.21,368,0,1.16,-1.34,-1,15,0.8
IMXUSDT,-1,1.9,1,TP,3,1,138,0,0,-2.1,9.8,2.01,2.01,0.63,0.4,296,0,1.92,0,-1,2,1.03
IMXUSDT,-1,1.9,1,TP,7,1,290,0,0,-3.53,11.2,1.29,1.29,1.26,0.43,448,0,2.29,0,-1,16,1.32
IMXUSDT,-1,1.9,1,TP,12,2,204,0,1,0.22,1.52,0.46,0.68,1.1,1.04,49,0,2.45,-0.82,-1,7,1.29
IMXUSDT,1,1.9,1,TP,10,3,171,0,2,-0.07,5.18,0.51,0.83,0.94,0.91,259,0,1.17,-0.85,1,17,1.19
IMXUSDT,-1,-2.1,0,SL,4,2,1124,0,1,-0.07,2.04,1.63,9.68,0.89,0.55,60,0,2.02,-0.26,-1,1,1.9
IMXUSDT,-1,1.9,1,TP,8,2,146,0,1,-0.01,0.89,0.48,0.74,0.47,0.76,112,0,1.09,-0.1,-1,15,0.29
