symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
NEARUSDT,1,2021-04-08 16:30,2021-04-08 17:00,6.7164,6.582072,SL,3,-2.14,-1.07,0,1.17,0,2.34,1,237,495,0,0,6.4,-3.23,2.48,2.48,1.61,364,1,16
NEARUSDT,1,2021-04-10 12:30,2021-04-10 17:15,6.5829,6.451242,SL,20,-2.14,-1.07,0.88,1.34,1.76,2.68,4,413,302,1,2,9.44,0.48,0.97,1.34,0.9,538,1,12
SOLUSDT,1,2021-04-13 01:30,2021-04-13 04:15,28.4537,27.884626,SL,12,-2.14,-1.07,0.05,1.15,0.09,2.3,3,1684,33,0,2,13.34,-0.18,1.18,1.25,0.82,544,1,1
SOLUSDT,1,2021-04-21 04:15,2021-04-21 07:00,32.6381,31.985338,SL,12,-2.14,-1.07,0.51,1.55,1.02,3.11,4,226,1280,0,3,10.45,-0.73,1.82,0.84,1.94,630,1,4
DOTUSDT,-1,2021-04-22 00:00,2021-04-22 00:45,33.382,34.04964,SL,4,-2.14,-1.07,0.23,1.22,0.46,2.43,1,366,420,0,0,3.83,-3.06,2.61,2.61,1.31,104,-1,0
LTCUSDT,-1,2021-04-22 22:45,2021-04-22 23:00,253.5,258.57,SL,2,-2.14,-1.07,0.25,1.04,0.51,2.09,1,453,402,0,0,3.15,-1.59,0.8,0.8,2.28,847,-1,22
SOLUSDT,1,2021-04-24 17:15,2021-04-24 17:30,39.4332,38.644536,SL,2,-2.14,-1.07,0.53,1.06,1.06,2.11,1,566,950,0,0,14.24,-2.16,2.23,2.23,2.39,973,1,17
ADAUSDT,1,2021-04-29 00:30,2021-04-29 01:15,1.32928,1.302694,SL,4,-2.14,-1.07,0.15,1.1,0.29,2.2,3,259,570,0,2,17.57,-0.05,1.32,0.56,0.93,301,1,0
FILUSDT,1,2021-04-30 02:15,2021-04-30 09:45,159.057,155.87586,SL,31,-2.14,-1.07,0.25,1.14,0.5,2.27,1,363,358,0,0,5.93,-4.92,7.91,7.91,0.89,47,1,2
ADAUSDT,1,2021-04-30 08:00,2021-05-01 09:00,1.34672,1.319786,SL,101,-2.14,-1.07,0.86,1.22,1.73,2.44,3,385,347,0,2,3.39,-0.25,0.61,1.25,0.86,46,1,8
