symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
TRXUSDT,1,2020-12-27 16:00,2020-12-27 16:15,0.02902,0.0296,TP,2,1.86,0.93,2.58,0.6,5.17,1.21,1,221,157,0,0,3.38,-2.87,1.63,1.63,1.04,178,1,16
ADAUSDT,1,2020-12-27 16:45,2020-12-27 17:30,0.16218,0.158936,SL,4,-2.14,-1.07,0.06,1.9,0.11,3.8,3,214,548,0,2,4.12,-0.65,1.87,0.61,1.81,289,1,16
DOTUSDT,1,2020-12-28 06:15,2020-12-28 06:30,5.388,5.49576,TP,2,1.86,0.93,1.03,0.06,2.06,0.11,1,294,1109,0,0,3.01,-2.66,5.52,5.52,0.76,115,1,6
LTCUSDT,1,2020-12-28 15:00,2020-12-28 15:30,133.57,130.8986,SL,3,-2.14,-1.07,0.03,1.3,0.05,2.6,2,301,1300,0,1,0.98,0.35,0.63,1.16,1.28,169,1,15
XRPUSDT,-1,2020-12-28 22:30,2020-12-28 22:45,0.2488,0.253776,SL,2,-2.14,-1.07,2.81,1.25,5.63,2.49,1,151,360,0,0,4.75,-4.95,19.55,19.55,2.52,0,-1,22
BTCUSDT,1,2020-12-30 00:30,2020-12-30 03:00,27691.97,28245.8094,TP,11,1.86,0.93,1.21,0.29,2.41,0.58,1,435,524,0,0,3.87,-2.66,1.46,1.46,0.68,266,1,0
NEARUSDT,1,2020-12-30 01:00,2020-12-30 03:15,1.2122,1.236444,TP,10,1.86,0.93,1.55,0.61,3.09,1.22,1,494,528,0,0,4.22,-3.79,2.16,2.16,1.13,71,1,1
LINKUSDT,-1,2021-01-01 00:30,2021-01-01 01:00,11.206,11.43012,SL,3,-2.14,-1.07,0.04,1.57,0.07,3.13,3,129,55,0,2,-0.64,-0.05,4.66,0.93,0.79,4,-1,0
SOLUSDT,1,2021-01-01 01:30,2021-01-01 07:15,1.5921,1.623942,TP,24,1.86,0.93,1.03,0.93,2.07,1.86,1,309,526,0,0,4.98,-3.4,1.6,1.6,1.19,51,1,1
ETHUSDT,1,2021-01-02 13:15,2021-01-02 16:30,765.22,780.5244,TP,14,1.86,0.93,1.05,0.67,2.11,1.34,1,774,819,0,0,5.22,-3.79,3.48,3.48,0.84,4,1,13
LTCUSDT,1,2021-01-02 13:45,2021-01-02 14:15,131.09,128.4682,SL,3,-2.14,-1.07,0.03,1.06,0.05,2.13,1,776,825,0,0,3.23,-2.17,1.23,1.23,1.09,196,1,13
DOTUSDT,1,2021-01-02 14:15,2021-01-02 14:30,8.929,9.10758,TP,2,1.86,0.93,1.03,0.21,2.06,0.41,3,806,597,0,2,3.52,-0.99,1.34,1.58,2.01,54,1,14
BNBUSDT,1,2021-01-06 00:15,2021-01-06 11:15,41.025,41.8455,TP,45,1.86,0.93,1.16,0.6,2.31,1.21,4,1050,451,0,3,9.66,-0.05,1.21,2.28,0.86,606,1,0
LTCUSDT,1,2021-01-06 02:30,2021-01-06 04:15,158.2,161.364,TP,8,1.86,0.93,1.97,0.78,3.94,1.55,2,1115,481,0,1,7.82,-0.29,0.6,0.64,1.15,257,1,2
DOGEUSDT,1,2021-01-06 04:30,2021-01-06 04:45,0.010175,0.010379,TP,2,1.86,0.93,3.56,0.22,7.13,0.44,2,1188,488,0,1,25.57,-1.24,1.03,1.43,2.04,469,1,4
AVAXUSDT,1,2021-01-08 10:00,2021-01-08 10:15,4.8124,4.908648,TP,2,1.86,0.93,1.89,0.16,3.78,0.33,1,711,1120,0,0,14.16,-2.01,1.75,1.75,2.03,526,1,10
LTCUSDT,1,2021-01-08 12:45,2021-01-08 13:00,172.48,169.0304,SL,2,-2.14,-1.07,0.03,1.48,0.05,2.97,2,1348,254,0,1,1.85,-0.78,1.02,2.09,1.86,41,1,12
ETHUSDT,1,2021-01-08 13:00,2021-01-08 14:45,1236.21,1260.9342,TP,8,1.86,0.93,1.01,0.4,2.01,0.81,2,1349,250,0,1,2.1,0.06,1.9,1.42,1.84,42,1,13
TRXUSDT,1,2021-01-09 09:15,2021-01-09 10:00,0.03142,0.032048,TP,4,1.86,0.93,1,0.06,2.01,0.13,1,557,181,0,0,12.26,-2.32,1.94,1.94,0.81,293,1,9
AVAXUSDT,1,2021-01-12 02:00,2021-01-12 02:15,6.9917,7.131534,TP,2,1.86,0.93,2.17,0.02,4.34,0.04,1,1063,768,0,0,21.54,-2.57,2.18,2.18,2.37,878,1,2
DOGEUSDT,-1,2021-01-12 21:00,2021-01-12 21:30,0.008148,0.007985,TP,3,1.86,0.93,1.14,0.2,2.27,0.41,3,152,165,0,2,11.34,-0.26,0.88,0.66,1.75,374,-1,21
NEARUSDT,-1,2021-01-12 21:45,2021-01-12 22:45,1.4825,1.45285,TP,5,1.86,0.93,1.38,0.22,2.77,0.44,1,156,101,0,0,2.28,-0.52,0.96,0.96,1.39,67,-1,21
ADAUSDT,1,2021-01-16 10:00,2021-01-16 10:30,0.3392,0.332416,SL,3,-2.14,-1.07,0.26,1.5,0.52,3,1,214,480,0,0,3.85,-3.86,5.01,5.01,1.51,113,1,10
TRXUSDT,1,2021-01-16 10:30,2021-01-16 12:00,0.03058,0.031192,TP,7,1.86,0.93,1.05,0.05,2.09,0.1,2,98,419,0,1,3.92,-0.45,0.83,1.28,0.86,47,1,10
LTCUSDT,1,2021-01-16 13:30,2021-01-16 16:00,148.21,151.1742,TP,11,1.86,0.93,1.6,0.88,3.2,1.75,3,187,384,0,2,4.28,-0.18,0.85,1.12,1.29,266,1,13
BNBUSDT,1,2021-01-17 16:30,2021-01-17 17:30,44.958,44.05884,SL,5,-2.14,-1.07,0.38,1.07,0.76,2.13,1,353,203,0,0,6.49,-4.47,1.72,1.72,1.03,6,1,16
LINKUSDT,1,2021-01-17 17:45,2021-01-17 19:15,22.006,22.44612,TP,7,1.86,0.93,1.52,0.65,3.03,1.31,1,373,255,0,0,10.27,-2.22,1.27,1.27,1.7,212,1,17
TRXUSDT,1,2021-01-18 10:15,2021-01-18 11:45,0.03072,0.031334,TP,7,1.86,0.93,2.02,0.44,4.04,0.88,4,289,228,0,3,1.42,-0.75,0.8,1.77,0.67,55,1,10
ETHUSDT,1,2021-01-19 00:15,2021-01-19 01:15,1259.28,1284.4656,TP,5,1.86,0.93,2.26,0.09,4.52,0.18,1,434,236,0,0,3.32,-1.5,2.08,2.08,0.8,139,1,0
ADAUSDT,1,2021-01-21 01:15,2021-01-21 04:45,0.36831,0.360944,SL,15,-2.14,-1.07,0.72,1.32,1.43,2.65,4,659,23,0,3,10.9,0.05,0.85,1.73,1.22,555,1,1
BTCUSDT,-1,2021-01-24 16:15,2021-01-24 19:15,31704.29,31070.2042,TP,13,1.86,0.93,1,0.45,2,0.89,1,848,53,0,0,16.63,-2.34,1.45,1.45,0.69,411,-1,16
LTCUSDT,-1,2021-01-24 17:15,2021-01-24 19:15,138.14,135.3772,TP,9,1.86,0.93,1.29,0.3,2.58,0.61,3,388,37,0,2,2.4,-0.21,0.6,0.51,0.74,201,-1,17
BNBUSDT,1,2021-01-25 00:30,2021-01-25 09:45,42.716,41.86168,SL,38,-2.14,-1.07,0.22,1.21,0.43,2.43,1,60,210,0,0,3.59,-4.12,2.44,2.44,0.56,368,1,0
ADAUSDT,1,2021-01-25 04:00,2021-01-25 07:15,0.36183,0.354593,SL,14,-2.14,-1.07,0,1.3,0,2.61,3,74,155,0,2,11.05,-1.01,0.48,1.21,0.83,258,1,4
DOGEUSDT,-1,2021-01-25 18:30,2021-01-25 22:00,0.008518,0.008348,TP,15,1.86,0.93,1.18,0.28,2.36,0.56,1,421,218,0,0,2.19,-1.28,1.09,1.09,0.76,10,-1,18
AVAXUSDT,-1,2021-01-29 20:30,2021-01-30 02:15,11.6292,11.396616,TP,24,1.86,0.93,1.39,0.42,2.78,0.83,3,340,122,0,2,2.75,-0.16,1.13,0.82,1.19,271,-1,20
BNBUSDT,1,2021-01-30 12:00,2021-01-31 00:30,44.38,45.2676,TP,51,1.86,0.93,1.04,0.33,2.07,0.66,1,110,2224,0,0,11.63,-3.69,2.36,2.36,0.49,894,1,12
BNBUSDT,1,2021-02-01 05:30,2021-02-01 09:00,45.282,46.18764,TP,15,1.86,0.93,1.27,0.31,2.54,0.62,1,276,2094,0,0,14.71,-2.92,1.43,1.43,0.51,1060,1,5
SOLUSDT,1,2021-02-01 13:30,2021-02-01 17:45,4.2754,4.360908,TP,18,1.86,0.93,1.09,0.91,2.18,1.82,4,938,435,0,3,12.66,0.43,0.97,1.17,0.9,248,1,13
ADAUSDT,1,2021-02-01 18:45,2021-02-01 19:45,0.36176,0.368995,TP,5,1.86,0.93,1.26,0.03,2.52,0.06,1,328,1229,0,0,4.46,-1.81,1.05,1.05,0.96,366,1,18
ADAUSDT,1,2021-02-05 01:15,2021-02-05 02:00,0.46415,0.473433,TP,4,1.86,0.93,1.49,0.38,2.98,0.75,1,642,916,0,0,3.86,-2.86,2.95,2.95,1.48,71,1,1
LINKUSDT,1,2021-02-05 03:00,2021-02-05 04:30,25.78,26.2956,TP,7,1.86,0.93,1.53,0.5,3.06,1,1,207,236,0,0,3.84,-1.96,0.99,0.99,1.28,24,1,3
